,play.per,,,
ad-ad,1.16414141414141,,,
ad-ad,0.263687600644122,,,
ad-ad,0.721618357487923,,,
ad-ad,1.08187134502924,,,
ad-ad,0.190297659622813,,,
ad-ad,0.476190476190476,,,
ad-ad,0.267094017094017,,,
ad-ad,0.249597423510467,,,
ad-ad,0.389492753623188,,,
ad-ad,0.531746031746032,,,
ad-ad,0.153959810874704,,,
ad-ad,0.511695906432749,,,
ad-ad,0.302083333333333,,,
ad-ad,0.598659003831418,,,
ad-ad,0.398944939004286,,,
ad-ad,0.162363067292645,,,
ad-ad,0.655228758169935,,,
ad-ad,1.03448275862069,,,
ad-ad,0.602636534839925,,,
ad-ad,0.133547008547009,,,
ad-ad,1.49853801169591,,,
ad-ad,0.304232804232804,,,
ad-ad,0.325925925925926,,,
ad-ad,0.969551282051282,,,
ad-ad,0.974747474747475,,,
ad-ad,0.19726689408707,,,
ad-ad,0.108329272254711,,,
ad-ad,0.403163580246914,,,
ad-ad,0.228131091617934,,,
ad-ad,0.433012508122157,,,
ad-ad,0.170971410006498,,,
ad-ad,0.159904970760234,,,
ad-ad,0.375649772579597,,,
ad-ad,0.382959714100065,,,
ad-ad,0.193307342430149,,,
ad-ad,0.0757271143278381,,,
ad-ad,0.2072108296475,,,
ad-ad,0.126658624849216,,,
ad-ad,0.110574989947728,,,
ad-ad,0.0926149309744002,,,
ad-ad,0.519099316445517,,,
ad-ad,0.205602466157352,,,
ad-ad,0.0806862350891301,,,
ad-ad,0.385471116472323,,,
ad-ad,0.523333333333333,,,
ad-ad,0.19537037037037,,,
ad-ad,0.465462962962963,,,
ad-ad,0.0594444444444444,,,
ad-ad,0.25462962962963,,,
ad-ad,0.0138888888888889,,,
ad-ad,0.00555555555555556,,,
ad-ad,0.0217592592592593,,,
ad-ad,0.0217592592592593,,,
ad-ad,0.136732623033993,,,
ad-ad,0.253678335870117,,,
ad-ad,0.156519533231862,,,
ad-ad,0.241755454084221,,,
ad-ad,0.0811642877134061,,,
ad-ad,0.0638718963655991,,,
ad-ad,0.0719683339330694,,,
ad-ad,0.0699692135460397,,,
ad-ad,0.044480428611411,,,
ad-im,0.202020202020202,,,
ad-im,1.96759259259259,,,
ad-im,0.377415458937198,,,
ad-im,0.0292397660818713,,,
ad-im,0.221540558963872,,,
ad-im,0,,,
ad-im,0.121082621082621,,,
ad-im,0.106682769726248,,,
ad-im,0.0120772946859903,,,
ad-im,0.0238095238095238,,,
ad-im,0.0460992907801418,,,
ad-im,0.477485380116959,,,
ad-im,0.0607638888888889,,,
ad-im,0.0574712643678161,,,
ad-im,0.0329706561160567,,,
ad-im,0.219092331768388,,,
ad-im,0.467320261437908,,,
