"","ID","CLASS","GROUP","OBSTIME","OBSTIMESECS","TOTAL_PLAY","IM.IM.TOT","ADULT.IMMATURE","MIXED","X.PLAYTOTAL","X.IMMATUREPLAY","X.IMMATURE.ADULT.PLAY","X.MIXED.PLAY"
"80","Vs","SA","SN",NA,1000440,9558,NA,NA,NA,0.96,NA,NA,NA
"81","Ze","A","SN",NA,1000440,3939,NA,NA,NA,0.39,NA,NA,NA
"82","an","A","LIZ",NA,1000440,7880,NA,NA,NA,0.79,NA,NA,NA
"83","ch","A","LIZ",NA,1000440,2855,NA,NA,NA,0.29,NA,NA,NA
"84","el","A","LIZ",NA,1000440,7185,NA,NA,NA,0.72,NA,NA,NA
"85","li","A","LIZ",NA,1000440,1935,NA,NA,NA,0.19,NA,NA,NA
"86","so","A","LIZ",NA,1000440,3360,NA,NA,NA,0.34,NA,NA,NA
"87","do","A","PLA",NA,1000440,3420,NA,NA,NA,0.34,NA,NA,NA
"88","lt","A","PLA",NA,1000440,2255,NA,NA,NA,0.23,NA,NA,NA
"89","ma","A","PLA",NA,1000440,10000,NA,NA,NA,1,NA,NA,NA
"90","mi","A","PLA",NA,1000440,12435,NA,NA,NA,1.24,NA,NA,NA
